City,Country,Lat,Lng,Temperature (°F),Humidity,Wind Speed,Cloudiness
Roebourne,AU,-20.77,117.15,82.02,63,4.38,12
Alyangula,AU,-13.85,136.42,80.58,100,14.67,92
Turinsk,RU,58.04,63.7,33.96,83,6.62,56
Bonavista,CA,48.65,-53.11,30.0,88,4.0,88
Kavaratti,IN,10.57,72.64,84.9,100,6.85,0
Virginia Beach,US,36.85,-75.98,68.0,82,9.17,75
Bethel,US,60.79,-161.76,39.2,69,11.41,75
Takayama,JP,36.14,137.25,59.0,81,8.05,75
Vitim,RU,59.44,112.57,25.77,59,5.73,12
Daru,PG,-9.07,143.21,83.1,100,4.72,44
Havoysund,NO,71.0,24.66,26.6,63,18.34,40
Quelimane,MZ,-17.88,36.89,69.87,93,2.93,8
Port Alfred,ZA,-33.59,26.89,64.0,92,1.01,8
Cabo San Lucas,MX,22.89,-109.91,82.0,53,8.05,5
Lucea,JM,18.44,-78.17,82.4,74,16.11,20
Ilulissat,GL,69.22,-51.1,39.2,48,13.87,44
Knysna,ZA,-34.04,23.05,71.6,49,9.17,0
Sioux Lookout,CA,50.1,-91.92,37.4,100,3.36,90
Mayumba,GA,-3.44,10.65,81.57,95,0.58,80
Tula,MX,18.59,-95.38,95.0,49,1.99,48
Kokoda,PG,-8.88,147.74,71.76,86,2.15,32
Souillac,MU,-20.52,57.52,80.6,78,14.99,40
Wanaka,NZ,-44.7,169.14,54.93,45,2.82,0
Chumikan,RU,54.72,135.31,36.39,81,3.38,64
Chegutu,ZW,-18.13,30.15,66.99,67,6.29,0
Pandan,PH,11.72,122.09,80.67,99,15.46,12
Leningradskiy,RU,69.38,178.42,3.72,100,1.7,12
Kingaroy,AU,-26.54,151.84,75.0,93,4.61,40
Mujiayingzi,CN,42.12,118.78,34.32,57,3.71,20
Khandbari,NP,27.38,87.21,33.42,89,0.92,0
Savannah Bight,HN,16.45,-85.85,82.74,88,23.17,8
Sinjar,IQ,36.32,41.88,47.64,97,2.82,64
Beyneu,KZ,45.32,55.19,49.08,68,5.39,88
Aksha,RU,50.28,113.29,25.23,51,3.6,0
Bredasdorp,ZA,-34.53,20.04,64.4,88,4.94,0
George Town,KY,19.29,-81.37,82.4,69,14.99,40
Kakonko,TZ,-3.28,30.97,62.31,92,2.82,48
Ust-Nera,RU,64.57,143.24,24.33,86,2.37,68
Lagoa,PT,37.14,-8.45,59.0,93,10.29,40
Jalu,LY,29.03,21.55,64.56,65,5.39,0
Maua,KE,0.23,37.94,65.73,68,1.59,64
Lompoc,US,34.64,-120.46,80.01,60,16.11,1
Upernavik,GL,72.79,-56.15,28.56,83,12.77,56
Darhan,MN,49.49,105.92,28.92,54,2.93,56
Pevek,RU,69.7,170.27,5.52,99,5.06,12
Proti,GR,40.82,21.4,52.0,99,2.37,92
Saint-Joseph,RE,-21.37,55.62,77.0,73,8.05,0
Bilibino,RU,68.06,166.44,21.18,71,0.92,0
Ouricuri,BR,-7.88,-40.08,73.83,84,4.16,12
Dandong,CN,40.12,124.37,46.92,37,4.94,0
Vaitape,PF,-16.52,-151.75,84.81,98,15.68,88
East London,ZA,-33.02,27.91,71.85,100,20.27,44
Shiyan,CN,32.65,110.78,60.24,83,1.25,12
Tasiilaq,GL,65.61,-37.64,32.0,93,24.16,92
Townsville,AU,-19.26,146.82,80.6,61,9.17,20
Tocopilla,CL,-22.09,-70.2,63.84,100,5.5,8
Maumere,ID,-8.63,122.22,80.85,100,6.29,88
Mutis,CO,6.23,-77.4,75.45,98,3.38,8
Hokitika,NZ,-42.72,170.96,58.71,95,1.14,0
Ahipara,NZ,-35.17,173.16,63.93,89,20.94,92
Tessalit,ML,20.2,1.01,56.91,32,3.94,0
Tabou,CI,4.42,-7.36,80.67,100,10.76,36
Georgetown,SH,-7.93,-14.42,81.39,100,16.8,80
Karratha,AU,-20.74,116.85,82.02,63,4.38,12
Port-Cartier,CA,50.03,-66.88,21.99,31,11.41,40
Esperance,AU,-33.86,121.89,57.81,80,5.61,76
Udachnyy,RU,66.42,112.4,18.75,70,3.6,36
Dikson,RU,73.51,80.55,13.44,100,7.29,64
Hualmay,PE,-11.1,-77.61,70.14,78,2.71,8
Mubi,NG,10.27,13.26,73.02,58,2.82,0
Bayji,IQ,34.93,43.49,54.57,91,4.05,100
Wageningen,SR,5.77,-56.69,80.04,97,14.0,12
Yerbogachen,RU,61.28,108.01,28.56,73,6.62,56
Vardo,NO,70.37,31.11,26.6,68,8.05,75
Gerede,TR,40.8,32.2,34.59,81,2.37,0
Drezdenko,PL,52.84,15.83,45.3,61,7.4,0
Saskylakh,RU,71.97,114.09,12.99,75,7.4,0
Mehamn,NO,71.03,27.85,23.61,86,5.84,64
Morant Bay,JM,17.88,-76.41,82.4,58,18.34,20
Huarmey,PE,-10.07,-78.15,70.5,69,2.59,20
Yulara,AU,-25.24,130.99,76.62,35,8.63,0
Ambilobe,MG,-13.19,49.05,74.91,95,4.72,92
Mangan,IN,27.5,88.54,19.47,74,1.92,0
Kotka,FI,60.47,26.95,39.99,64,9.17,0
Merauke,ID,-8.49,140.4,85.26,89,5.95,8
Huilong,CN,31.15,106.5,68.7,65,10.2,12
Loandjili,CG,-4.77,11.87,73.4,100,9.17,75
Iqaluit,CA,63.75,-68.52,17.01,85,25.28,90
Ati,TD,13.21,18.34,74.19,43,0.47,0
Tiarei,PF,-17.53,-149.33,87.8,66,11.41,20
Lorengau,PG,-2.02,147.27,81.39,100,3.6,80
Temiscaming,CA,46.72,-79.1,36.0,93,18.34,90
Guerrero Negro,MX,27.97,-114.04,76.71,44,15.01,0
Flinders,AU,-34.58,150.85,82.99,42,2.93,0
Ushtobe,KZ,45.25,77.98,33.96,62,11.21,0
Kamphaeng Phet,TH,16.47,99.53,72.39,97,3.04,8
Indian Head,CA,50.53,-103.67,60.01,27,12.77,8
Pauini,BR,-7.71,-67.0,74.19,93,3.15,64
Bandar-e Lengeh,IR,26.56,54.88,81.84,77,5.17,44
Waingapu,ID,-9.65,120.26,79.41,86,5.06,24
Traverse City,US,44.76,-85.62,62.6,63,4.7,90
Riyadh,SA,24.63,46.72,75.2,50,8.05,40
Dunedin,NZ,-45.87,170.5,61.0,61,20.0,0
Kwinana,AU,-32.25,115.77,61.0,72,8.05,0
Cervo,ES,43.67,-7.41,52.0,1,7.0,92
Bandarbeyla,SO,9.49,50.81,79.32,100,6.17,0
Saint-Medard-en-Jalles,FR,44.9,-0.72,46.99,87,5.82,0
Komsomolskiy,RU,67.55,63.78,25.23,89,7.63,92
Aleksandrovskiy Zavod,RU,50.92,117.94,26.49,57,4.16,0
Muros,ES,42.77,-9.06,57.0,100,4.7,75
Mitu,CO,1.2,-70.17,75.54,100,1.7,68
Osinovo,RU,62.87,42.79,23.97,73,2.26,24
Bolobo,CD,-2.17,16.23,71.22,100,2.59,24
Southbridge,NZ,-43.81,172.25,66.0,77,10.29,0
Bahia Blanca,AR,-38.72,-62.27,71.49,46,7.96,0
Rongcheng,CN,37.16,122.42,49.44,56,8.75,44
Kyshtovka,RU,56.56,76.62,21.27,83,8.41,0
Magistralnyy,RU,56.17,107.45,16.77,66,3.04,48
Porto Walter,BR,-8.27,-72.74,75.99,71,3.38,12
Batesville,US,35.77,-91.64,71.01,77,3.36,1
Alta Floresta,BR,-9.87,-56.08,74.64,94,1.92,88
Ereymentau,KZ,51.62,73.1,25.59,74,5.17,0
Torbay,CA,47.66,-52.73,34.0,85,4.7,90
Can,TR,40.03,27.05,50.0,100,2.24,75
Cockburn Town,BS,24.03,-74.52,78.42,93,13.22,64
Meybod,IR,32.25,54.02,64.4,55,6.93,75
Mount Isa,AU,-20.73,139.49,78.8,47,9.17,0
Coihaique,CL,-45.58,-72.07,57.2,93,4.7,75
Sikeston,US,36.88,-89.59,71.6,83,10.29,90
San Patricio,MX,19.22,-104.7,82.4,69,9.17,5
Bayan,KW,29.3,48.05,73.4,53,6.93,0
Arrecife,ES,28.96,-13.55,64.4,77,4.7,40
Hay River,CA,60.82,-115.79,41.0,53,6.93,90
Namwala,ZM,-15.75,26.45,71.49,67,8.63,56
Zasechnoye,RU,53.11,45.08,33.01,70,2.59,20
Korla,CN,41.76,86.15,38.1,100,1.7,64
Marmaris,TR,36.85,28.27,59.0,93,3.36,40
Eten,PE,-6.91,-79.86,66.2,29,18.34,40
Touros,BR,-5.2,-35.46,78.8,94,4.7,0
Ballina,IE,54.11,-9.15,46.99,83,5.99,44
Walvis Bay,NA,-22.95,14.51,59.0,87,11.41,0
Hasaki,JP,35.73,140.83,46.4,70,9.17,75
Monteiro,BR,-7.89,-37.12,73.47,79,5.95,80
Scarborough,TT,11.18,-60.73,78.8,65,6.93,20
Libano,CO,7.75,-72.83,86.0,55,6.93,40
Batagay-Alyta,RU,67.8,130.41,16.86,78,4.16,0
Filingue,NE,14.35,3.32,79.14,27,10.42,12
Soto la Marina,MX,23.77,-98.21,84.36,43,11.43,12
Thompson,CA,55.74,-97.86,19.4,73,9.17,90
Maceio,BR,-9.67,-35.74,77.0,88,6.93,75
Pangai,TO,-19.8,-174.35,86.0,79,8.05,40
Port Hedland,AU,-20.31,118.58,78.8,100,5.82,44
ChengDe,CN,40.97,117.93,42.96,24,6.73,80
Athens,US,33.96,-83.39,78.8,61,2.04,40
Shimoda,JP,34.7,138.93,55.4,93,2.24,75
Narsaq,GL,60.91,-46.05,30.2,92,1.12,92
Chernyshevskiy,RU,63.01,112.47,27.57,79,7.63,36
Zhigansk,RU,66.77,123.37,25.5,76,6.73,24
Shuya,RU,56.84,41.38,26.49,69,5.06,0
Bambous Virieux,MU,-20.34,57.76,80.6,78,14.99,40
Lamu,KE,-2.27,40.9,82.4,83,6.73,20
Lamar,US,38.09,-102.62,75.2,14,6.93,1
Fecamp,FR,49.76,0.37,48.2,76,3.36,0
Parana,BR,-7.52,-72.89,73.4,88,4.05,90
Kitimat,CA,54.02,-128.69,44.01,93,21.92,90
Mercedes,AR,-29.18,-58.08,60.24,73,5.06,0
Arkansas City,US,37.06,-97.04,77.0,47,10.29,1
Svetlogorsk,RU,53.14,59.15,33.8,80,2.24,36
Callaway,US,46.98,-95.91,64.0,66,5.82,1
Cam Ranh,VN,11.92,109.15,78.8,83,3.36,20
Osuna,ES,37.24,-5.1,57.99,93,11.41,75
Koflach,AT,47.07,15.08,46.4,93,2.24,75
Port Blair,IN,11.67,92.75,84.0,100,1.25,0
Nouadhibou,MR,20.93,-17.03,64.4,68,16.11,36
Geraldton,AU,-28.77,114.6,51.8,87,3.36,0
Cabedelo,BR,-6.97,-34.84,78.8,94,4.7,20
Port Lincoln,AU,-34.72,135.86,65.82,89,18.25,92
Acapulco,MX,16.86,-99.88,80.6,78,14.99,75
Jonesboro,US,35.84,-90.7,69.8,93,12.75,1
Berlevag,NO,70.86,29.09,26.94,100,8.19,80
Lumsden,CA,50.65,-104.86,60.8,19,13.87,75
Harper,LR,4.38,-7.71,82.02,100,10.2,68
Pacific Grove,US,36.62,-121.92,78.01,72,8.05,1
Thinadhoo,MV,0.53,72.93,84.09,100,3.38,0
Tingo Maria,PE,-9.29,-76.01,78.8,74,1.14,75
Roros,NO,62.57,11.38,28.4,86,10.29,76
Betanzos,ES,43.28,-8.21,54.0,93,10.29,75
Kasama,ZM,-10.21,31.19,64.56,87,4.83,20
Kindu,CD,-2.95,25.92,72.57,93,3.6,88
Ploemeur,FR,47.73,-3.43,48.99,100,3.36,90
Plerin,FR,48.54,-2.78,46.0,87,6.93,0
Taixing,CN,32.17,120.02,66.99,54,9.19,0
Antalaha,MG,-14.9,50.28,75.72,100,7.96,68
Vytegra,RU,61.01,36.45,23.34,60,5.61,0
Nkhotakota,MW,-12.93,34.3,71.04,94,3.38,8
Charters Towers,AU,-20.07,146.27,74.91,82,7.74,0
Mariental,NA,-24.63,17.97,51.69,39,2.71,0
Fortuna,US,40.6,-124.16,64.0,100,16.11,90
Artyom,AZ,40.47,50.33,46.4,100,11.41,90
Arica,CL,-18.48,-70.32,68.0,77,3.36,0
Nadym,RU,65.53,72.51,21.45,82,8.41,0
Araouane,ML,18.9,-3.53,61.32,31,5.17,0
Saint George,BM,32.38,-64.68,69.8,83,4.7,75
Honningsvag,NO,70.98,25.97,25.95,100,8.3,48
Yangmei,TW,24.91,121.15,84.0,88,6.93,20
Alice Springs,AU,-23.7,133.88,73.4,33,6.73,0
Kasongo-Lunda,CD,-6.48,16.82,71.94,93,2.59,68
Agra,IN,27.18,78.01,67.62,80,2.37,0
Bugaan,PH,14.04,120.94,87.01,66,6.93,20
Taoudenni,ML,22.68,-3.98,56.1,38,4.38,0
Kovylkino,RU,54.04,43.91,20.46,76,3.15,8
Vanino,RU,53.93,40.55,33.01,77,1.99,56
Kloulklubed,PW,7.04,134.26,78.8,88,8.05,90
Taseyevo,RU,57.22,94.9,22.26,78,4.83,32
Kununurra,AU,-15.77,128.74,86.0,58,6.93,75
Temple,US,31.1,-97.34,66.99,88,11.41,92
Port Hardy,CA,50.7,-127.42,55.4,54,11.41,75
Rivera,UY,-30.9,-55.54,60.69,90,5.73,0
Nuuk,GL,64.17,-51.74,32.0,94,8.05,88
Banff,CA,51.18,-115.57,48.0,38,5.01,56
Susanville,US,40.42,-120.65,60.8,44,13.87,90
Coahuayana,MX,18.62,-100.35,84.54,18,2.71,0
Tuatapere,NZ,-46.13,167.69,62.01,62,5.39,48
Salamanca,CL,-31.78,-70.97,52.14,67,1.7,0
Naze,JP,28.37,129.48,75.2,69,10.29,20
Rawson,AR,-43.3,-65.11,64.29,52,14.45,8
Mazatlan,MX,23.22,-106.42,82.4,34,19.46,5
Jishu,CN,44.29,126.79,37.65,72,4.83,0
Iquitos,PE,-3.75,-73.25,42.8,319,3.36,75
Tevaitoa,PF,-16.78,-151.5,84.9,96,15.57,88
Cayenne,GF,4.94,-52.33,77.0,88,4.7,100
Killybegs,IE,54.63,-8.45,46.99,83,5.99,36
Primo Tapia,MX,32.22,-116.92,82.0,64,18.34,1
Deep River,CA,46.1,-77.49,39.99,100,2.24,90
Vidim,RU,56.41,103.11,25.5,75,6.62,0
Klaksvik,FO,62.23,-6.59,41.0,56,17.22,80
Faanui,PF,-16.48,-151.75,84.54,100,16.35,56
Kaeo,NZ,-35.1,173.78,68.0,63,7.0,68
Bima,ID,-8.45,118.73,81.03,88,3.6,12
Gympie,AU,-26.2,152.66,73.0,76,1.99,0
Derbent,RU,42.06,48.29,37.56,86,2.37,0
Sitka,US,37.17,-99.65,73.99,26,4.0,0
Chapais,CA,49.78,-74.86,23.0,41,6.93,1
Neuquen,AR,-38.95,-68.06,71.6,64,2.48,0
Burla,RU,53.34,78.33,20.91,76,2.71,0
Bambanglipuro,ID,-7.95,110.28,74.01,95,4.05,12
Vysokogornyy,RU,50.1,139.13,30.9,71,3.15,24
Saint-Augustin,CA,45.63,-73.98,48.2,75,2.24,90
Bang Saphan,TH,11.21,99.51,75.2,100,2.24,40
Talnakh,RU,69.49,88.39,15.42,93,10.98,76
Pitimbu,BR,-7.47,-34.81,78.8,94,4.7,20
Bageshwar,IN,29.85,79.77,38.82,76,3.38,20
Rudsar,IR,37.14,50.29,53.6,100,2.24,90
Sidrolandia,BR,-20.93,-54.96,71.6,88,4.7,75
Zubtsov,RU,56.17,34.59,34.14,83,10.31,48
Sibolga,ID,1.74,98.78,69.42,100,1.25,20
Port Macquarie,AU,-31.43,152.91,82.99,53,4.7,36
Male,MV,4.17,73.51,82.4,78,1.12,20
Poronaysk,RU,49.22,143.1,36.12,69,7.4,24
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,37.4,59,6.71,40
Ostrovnoy,RU,68.05,39.51,24.15,86,6.73,88
Puerto Madero,MX,14.72,-92.42,87.8,55,6.93,40
Vanimo,PG,-2.67,141.3,79.41,100,5.73,88
Najran,SA,17.54,44.22,71.6,64,4.7,5
Klyuchi,RU,52.25,79.17,22.44,71,3.04,0
Springbok,ZA,-29.67,17.88,49.17,95,3.94,68
Mansa,ZM,-11.21,28.88,67.62,84,6.17,56
Santa Cruz,CR,10.26,-85.58,91.4,43,6.93,0
Vygonichi,RU,53.1,34.07,47.91,60,16.02,100
Cintalapa,MX,16.7,-93.73,82.92,40,8.86,12
Montego Bay,JM,18.47,-77.92,82.4,74,16.11,20
